month_start,year,month,borough,sales_count,median_sale_price
2019-10-01,2019,10,3,1267,800000.0
2019-10-01,2019,10,4,1649,615000.0
2019-10-01,2019,10,5,528,529000.0
2019-11-01,2019,11,1,915,1100000.0
2019-11-01,2019,11,2,387,530000.0
2019-11-01,2019,11,3,1164,806000.0
2019-11-01,2019,11,4,1355,580000.0
2019-11-01,2019,11,5,439,550000.0
2019-12-01,2019,12,1,1110,1200000.0
2019-12-01,2019,12,2,443,500000.0
2019-12-01,2019,12,3,1361,849000.0
2019-12-01,2019,12,4,1490,610000.0
2019-12-01,2019,12,5,433,525000.0
2020-01-01,2020,1,1,1121,1257539.0
2020-01-01,2020,1,2,478,486000.0
2020-01-01,2020,1,3,1329,830000.0
2020-01-01,2020,1,4,1573,629000.0
2020-01-01,2020,1,5,455,527000.0
2020-02-01,2020,2,1,1153,1285000.0
2020-02-01,2020,2,2,421,499000.0
2020-02-01,2020,2,3,1161,780000.0
2020-02-01,2020,2,4,1324,553125.0
2020-02-01,2020,2,5,431,536243.0
2020-03-01,2020,3,1,835,1182000.0
2020-03-01,2020,3,2,351,570000.0
2020-03-01,2020,3,3,1023,812665.0
2020-03-01,2020,3,4,1204,608875.0
2020-03-01,2020,3,5,354,530000.0
2020-04-01,2020,4,1,503,1290000.0
2020-04-01,2020,4,2,199,557328.0
2020-04-01,2020,4,3,604,784053.0
2020-04-01,2020,4,4,577,610950.0
2020-04-01,2020,4,5,211,570000.0
2020-05-01,2020,5,1,638,1009500.0
2020-05-01,2020,5,2,208,490000.0
2020-05-01,2020,5,3,766,800000.0
2020-05-01,2020,5,4,735,590000.0
2020-05-01,2020,5,5,272,544950.0
2020-06-01,2020,6,1,857,995000.0
2020-06-01,2020,6,2,317,500000.0
2020-06-01,2020,6,3,941,835500.0
2020-06-01,2020,6,4,953,580403.0
2020-06-01,2020,6,5,360,550000.0
2020-07-01,2020,7,1,750,1170494.0
2020-07-01,2020,7,2,385,600000.0
2020-07-01,2020,7,3,798,755000.0
2020-07-01,2020,7,4,1047,530000.0
2020-07-01,2020,7,5,321,540000.0
